make,highway-mpg,Price
Brand A,19.0,35.55
Brand B,30.0,32.53
Brand B,31.0,37.03
Brand B,31.0,32.0
Brand C,37.0,6.92
Brand C,32.0,7.9
Brand C,32.0,8.78
Brand C,37.0,7.2
Brand C,47.0,7.79
Brand C,47.0,7.74
Brand C,34.0,8.36
Brand C,34.0,8.06
Brand C,30.0,13.3
Brand C,30.0,12.64
Brand C,30.0,11.2
Brand C,38.0,11.55
Brand C,39.0,7.67
Brand C,33.0,10.7
Brand C,32.0,13.9
Brand C,32.0,15.25
Brand C,24.0,16.0
Brand C,24.0,15.69
Brand D,28.0,12.94
Brand D,28.0,13.42
Brand D,28.0,15.99
Brand D,29.0,16.52
Brand D,22.0,18.95
Brand D,23.0,21.49
Brand D,27.0,22.47
Brand A,20.0,33.74
Brand A,23.0,36.82
Brand A,18.0,30.96
Brand A,18.0,38.91
Brand A,16.0,37.31
Brand A,20.0,37.05
Brand A,20.0,29.59
Brand A,21.0,33.26
Brand A,22.0,31.2
Brand A,19.0,35.5
Brand B,40.0,34.44
Brand B,35.0,38.34
Brand B,34.0,37.97
Brand B,42.0,36.34
Brand B,39.0,35.07
Brand B,35.0,34.09
Brand B,37.0,35.83
Brand B,33.0,36.92
Brand B,34.0,33.93
Brand B,37.0,34.22
Brand B,43.0,32.23
Brand B,43.0,31.29
Brand B,40.0,35.43
Brand B,37.0,32.43
Brand B,44.0,34.02
Brand C,35.0,9.66
Brand C,27.0,9.83
Brand C,24.0,13.79
Brand C,36.0,12.88
Brand C,33.0,9.97
Brand C,48.0,4.31
Brand C,28.0,8.99
Brand C,34.0,9.87
Brand C,32.0,8.62
Brand C,36.0,10.25
Brand C,38.0,8.59
Brand C,29.0,9.97
Brand C,29.0,6.12
Brand C,36.0,7.49
Brand C,29.0,8.23
Brand C,27.0,13.52
Brand C,29.0,7.31
Brand C,29.0,10.55
Brand C,33.0,8.01
Brand C,27.0,14.89
Brand C,27.0,8.24
Brand C,31.0,10.41
Brand C,37.0,9.88
Brand C,35.0,13.46
Brand C,32.0,8.61
Brand C,27.0,16.76
Brand C,31.0,8.91
Brand C,28.0,9.55
Brand C,27.0,11.94
Brand C,24.0,12.39
Brand C,27.0,8.75
Brand C,27.0,10.75
Brand C,31.0,7.9
Brand C,26.0,9.38
Brand C,28.0,12.0
Brand C,31.0,7.11
Brand D,25.0,16.29
Brand D,30.0,17.31
Brand D,27.0,19.94
Brand D,25.0,15.9
Brand D,32.0,15.87
Brand D,25.0,19.4
Brand D,23.0,23.39
Brand D,29.0,17.61
Brand D,23.0,16.15
Brand D,29.0,20.95
